Country,Number of ATMs per 100.000 adults,Number of borrowers from commercial banks per 1.000 adults,Number of credit cards per 1.000 adults,Number of debit cards per 1.000 adults,Number of depositors with commercial banks per 1.000 adults,Number of Non-life insurance policies per 1.000 adults,Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
Albania,31.13,151.15,45.94,456.99,1122.71,684.9883333333332,75.44,35.45
Algeria,9.38,48.13,387.1674418604651,161.6,816.1892391304347,684.9883333333332,53.67,60.51
Angola,17.22,47.97,2.54,371.43,816.1892391304347,684.9883333333332,44.38,14.51
Antigua and Barbuda,62.68,227.74865979381443,330.15,1006.84,816.1892391304347,684.9883333333332,87.05,58.07
Argentina,61.81,392.4,1204.71,1649.0,916.38,1126.54,23.85,12.87
Armenia,68.77,227.74865979381443,109.34,1007.77,816.1892391304347,377.78,39.62,62.15
Aruba,121.47,227.74865979381443,426.18,1041.9926573426574,816.1892391304347,684.9883333333332,104.55,75.93
Australia,128.66,227.74865979381443,877.46,1936.77,816.1892391304347,684.9883333333332,89.34,134.54
Austria,167.94,227.74865979381443,483.92,1515.45,816.1892391304347,5350.54,30.69,25.18
Azerbaijan,36.34,235.36,142.91,1108.55,1495.55,684.9883333333332,30.01,19.51
Bangladesh,10.39,80.01,13.41,174.87,896.9,21.8,43.7,36.19
Barbados,28.89,227.74865979381443,624.13,1041.9926573426574,816.1892391304347,767.76,112.22,64.06
Belarus,55.7,227.74865979381443,36.2,1931.75,816.1892391304347,459.71,29.59,39.13
Belgium,67.0,680.27,223.42,4147.33,816.1892391304347,684.9883333333332,116.23,89.56
Belize,45.86,178.23,387.1674418604651,682.78,761.04,684.9883333333332,75.63,52.92
Benin,4.25,227.74865979381443,387.1674418604651,136.6,307.84,684.9883333333332,31.52,20.21
Bhutan,50.04,227.74865979381443,387.1674418604651,1041.9926573426574,816.1892391304347,125.65,96.43,97.33
Bolivia,42.1,80.17,24.82,684.64,816.1892391304347,684.9883333333332,61.13,53.83
Bosnia and Herzegovina,57.63,325.98,138.43,630.41,816.1892391304347,1021.34,57.66,54.77
Botswana,43.25,169.88,55.44,711.83,750.33,684.9883333333332,34.47,36.39
Brazil,96.42,664.67,801.3,988.66,668.01,684.9883333333332,45.31,41.39
Brunei Darussalam,75.04,373.38,350.61,1889.1,1493.0,1043.46,76.26,31.67
